Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Nov 12 2007,7:30p,New Orleans Hornets,84,New Jersey Nets,82,Box Score,,12832,
Mon Nov 12 2007,9:00p,Sacramento Kings,93,Utah Jazz,117,Box Score,,19911,
Tue Nov 13 2007,7:00p,Miami Heat,76,Charlotte Bobcats,91,Box Score,,12169,
Tue Nov 13 2007,8:30p,Philadelphia 76ers,84,Dallas Mavericks,99,Box Score,,19875,
Tue Nov 13 2007,7:00p,Boston Celtics,101,Indiana Pacers,86,Box Score,,12143,
Tue Nov 13 2007,8:00p,Houston Rockets,99,Memphis Grizzlies,105,Box Score,,12368,
Tue Nov 13 2007,7:00p,Seattle SuperSonics,76,Orlando Magic,103,Box Score,,16101,
Tue Nov 13 2007,9:00p,New York Knicks,102,Phoenix Suns,113,Box Score,,18422,
Tue Nov 13 2007,10:00p,Detroit Pistons,94,Portland Trail Blazers,102,Box Score,,19980,
Tue Nov 13 2007,8:30p,Los Angeles Lakers,92,San Antonio Spurs,107,Box Score,,18797,
Wed Nov 14 2007,7:00p,Charlotte Bobcats,109,Atlanta Hawks,117,Box Score,,12239,
Wed Nov 14 2007,7:30p,New Jersey Nets,69,Boston Celtics,91,Box Score,,18624,
Wed Nov 14 2007,7:00p,Orlando Magic,117,Cleveland Cavaliers,116,Box Score,OT,20562,
Wed Nov 14 2007,9:00p,Portland Trail Blazers,93,Denver Nuggets,110,Box Score,,13289,
Wed Nov 14 2007,10:30p,Detroit Pistons,111,Golden State Warriors,104,Box Score,,18923,
Wed Nov 14 2007,9:00p,Los Angeles Lakers,93,Houston Rockets,90,Box Score,,18178,
Wed Nov 14 2007,10:30p,New York Knicks,81,Los Angeles Clippers,84,Box Score,,15296,
Wed Nov 14 2007,7:30p,Seattle SuperSonics,104,Miami Heat,95,Box Score,,19600,
Wed Nov 14 2007,8:00p,Memphis Grizzlies,99,Milwaukee Bucks,102,Box Score,,13462,
Wed Nov 14 2007,8:00p,Sacramento Kings,103,Minnesota Timberwolves,108,Box Score,,11656,
Wed Nov 14 2007,8:00p,Philadelphia 76ers,76,New Orleans Hornets,95,Box Score,,8302,
Wed Nov 14 2007,7:00p,Utah Jazz,92,Toronto Raptors,88,Box Score,,17337,
Wed Nov 14 2007,7:00p,Indiana Pacers,90,Washington Wizards,103,Box Score,,12477,
Thu Nov 15 2007,8:00p,San Antonio Spurs,92,Dallas Mavericks,105,Box Score,,20468,
Thu Nov 15 2007,10:30p,Chicago Bulls,102,Phoenix Suns,112,Box Score,,18422,
Fri Nov 16 2007,7:30p,Seattle SuperSonics,126,Atlanta Hawks,123,Box Score,2OT,13534,
Fri Nov 16 2007,7:30p,Miami Heat,91,Boston Celtics,92,Box Score,,18624,
Fri Nov 16 2007,7:30p,Utah Jazz,94,Cleveland Cavaliers,99,Box Score,,19862,
Fri Nov 16 2007,10:30p,Los Angeles Clippers,105,Golden State Warriors,122,Box Score,,19596,
Fri Nov 16 2007,10:30p,Detroit Pistons,91,Los Angeles Lakers,103,Box Score,,18997,
Fri Nov 16 2007,8:00p,New Orleans Hornets,120,Memphis Grizzlies,118,Box Score,OT,13271,
Fri Nov 16 2007,8:00p,Washington Wizards,105,Minnesota Timberwolves,89,Box Score,,11783,
Fri Nov 16 2007,7:30p,Orlando Magic,95,New Jersey Nets,70,Box Score,,15115,
Fri Nov 16 2007,7:00p,Portland Trail Blazers,88,Philadelphia 76ers,92,Box Score,,11483,
Fri Nov 16 2007,10:00p,New York Knicks,118,Sacramento Kings,123,Box Score,2OT,12549,
Fri Nov 16 2007,8:00p,Houston Rockets,84,San Antonio Spurs,90,Box Score,,18797,
Fri Nov 16 2007,7:00p,Indiana Pacers,101,Toronto Raptors,110,Box Score,,19800,
Sat Nov 17 2007,7:00p,Seattle SuperSonics,84,Charlotte Bobcats,100,Box Score,,13697,
Sat Nov 17 2007,8:30p,Memphis Grizzlies,105,Dallas Mavericks,108,Box Score,,20385,
Sat Nov 17 2007,9:00p,New York Knicks,83,Denver Nuggets,115,Box Score,,19679,
Sat Nov 17 2007,8:30p,Phoenix Suns,115,Houston Rockets,105,Box Score,,18265,
Sat Nov 17 2007,7:00p,Utah Jazz,97,Indiana Pacers,117,Box Score,,12447,
Sat Nov 17 2007,10:30p,Chicago Bulls,92,Los Angeles Clippers,73,Box Score,,17535,
Sat Nov 17 2007,8:30p,Atlanta Hawks,96,Milwaukee Bucks,105,Box Score,,14511,
Sat Nov 17 2007,8:00p,New Orleans Hornets,100,Minnesota Timberwolves,82,Box Score,,15324,
Sat Nov 17 2007,7:30p,Miami Heat,91,New Jersey Nets,87,Box Score,,16797,
Sat Nov 17 2007,7:00p,Portland Trail Blazers,90,Washington Wizards,109,Box Score,,20173,
Sun Nov 18 2007,9:30p,Chicago Bulls,78,Los Angeles Lakers,106,Box Score,,18997,
Sun Nov 18 2007,6:00p,Boston Celtics,102,Orlando Magic,104,Box Score,,17519,
Sun Nov 18 2007,9:00p,Detroit Pistons,95,Sacramento Kings,105,Box Score,,12978,
Sun Nov 18 2007,1:00p,Golden State Warriors,106,Toronto Raptors,100,Box Score,,19800,
Mon Nov 19 2007,7:00p,Portland Trail Blazers,92,Charlotte Bobcats,101,Box Score,,10612,
Mon Nov 19 2007,8:00p,Seattle SuperSonics,108,Memphis Grizzlies,125,Box Score,,10863,
Mon Nov 19 2007,8:00p,Orlando Magic,95,New Orleans Hornets,88,Box Score,,11741,
Mon Nov 19 2007,9:00p,New Jersey Nets,75,Utah Jazz,102,Box Score,,19911,
Tue Nov 20 2007,7:00p,San Antonio Spurs,95,Atlanta Hawks,83,Box Score,,17025,
Tue Nov 20 2007,7:00p,Milwaukee Bucks,111,Cleveland Cavaliers,107,Box Score,,20115,
Tue Nov 20 2007,8:30p,Toronto Raptors,99,Dallas Mavericks,105,Box Score,,20272,
Tue Nov 20 2007,9:00p,Chicago Bulls,91,Denver Nuggets,112,Box Score,,17106,
Tue Nov 20 2007,7:00p,Los Angeles Lakers,134,Indiana Pacers,114,Box Score,,11577,
Tue Nov 20 2007,7:30p,Golden State Warriors,108,New York Knicks,82,Box Score,,19763,
Tue Nov 20 2007,10:00p,Phoenix Suns,100,Sacramento Kings,98,Box Score,,13592,
Tue Nov 20 2007,7:00p,Philadelphia 76ers,101,Washington Wizards,116,Box Score,,12299,
Wed Nov 21 2007,7:30p,Golden State Warriors,82,Boston Celtics,105,Box Score,,18624,
Wed Nov 21 2007,7:00p,Washington Wizards,114,Charlotte Bobcats,111,Box Score,OT,12193,
Wed Nov 21 2007,8:00p,New York Knicks,86,Detroit Pistons,98,Box Score,,22076,
Wed Nov 21 2007,7:30p,Dallas Mavericks,100,Houston Rockets,94,Box Score,,18143,
Wed Nov 21 2007,10:30p,Denver Nuggets,90,Los Angeles Clippers,101,Box Score,,17221,
Wed Nov 21 2007,8:00p,Toronto Raptors,95,Memphis Grizzlies,89,Box Score,,12217,
Wed Nov 21 2007,7:30p,Atlanta Hawks,82,Miami Heat,79,Box Score,,19600,
Wed Nov 21 2007,8:00p,Los Angeles Lakers,103,Milwaukee Bucks,110,Box Score,,17526,
Wed Nov 21 2007,8:00p,Cleveland Cavaliers,97,Minnesota Timberwolves,86,Box Score,,15224,
Wed Nov 21 2007,8:00p,Indiana Pacers,105,New Orleans Hornets,93,Box Score,,11609,
Wed Nov 21 2007,9:00p,Sacramento Kings,111,Phoenix Suns,127,Box Score,,18422,
Wed Nov 21 2007,10:00p,New Jersey Nets,106,Portland Trail Blazers,101,Box Score,,18423,
Wed Nov 21 2007,8:30p,Orlando Magic,110,San Antonio Spurs,128,Box Score,,18797,
Fri Nov 23 2007,7:30p,Los Angeles Lakers,94,Boston Celtics,107,Box Score,,18624,
Fri Nov 23 2007,9:00p,Minnesota Timberwolves,93,Denver Nuggets,99,Box Score,,17097,
Fri Nov 23 2007,8:00p,Philadelphia 76ers,78,Detroit Pistons,83,Box Score,,22076,
Fri Nov 23 2007,8:00p,Dallas Mavericks,107,Indiana Pacers,111,Box Score,,14002,
Fri Nov 23 2007,8:00p,Houston Rockets,91,Miami Heat,98,Box Score,,19600,
Fri Nov 23 2007,7:00p,Charlotte Bobcats,92,Orlando Magic,105,Box Score,,17136,
Fri Nov 23 2007,9:00p,Los Angeles Clippers,94,Phoenix Suns,113,Box Score,,18422,
Fri Nov 23 2007,10:00p,Sacramento Kings,84,Portland Trail Blazers,87,Box Score,,19980,
Fri Nov 23 2007,8:30p,Memphis Grizzlies,88,San Antonio Spurs,101,Box Score,,18797,
Fri Nov 23 2007,10:30p,New Jersey Nets,98,Seattle SuperSonics,93,Box Score,,14424,
Fri Nov 23 2007,9:00p,New Orleans Hornets,71,Utah Jazz,99,Box Score,,19911,
Fri Nov 23 2007,7:00p,Golden State Warriors,123,Washington Wizards,115,Box Score,,20173,
Sat Nov 24 2007,7:00p,Boston Celtics,96,Charlotte Bobcats,95,Box Score,,19201,
Sat Nov 24 2007,1:00p,Toronto Raptors,108,Cleveland Cavaliers,111,Box Score,,20018,
Sat Nov 24 2007,8:30p,Denver Nuggets,81,Houston Rockets,109,Box Score,,18228,
Sat Nov 24 2007,10:30p,New Orleans Hornets,98,Los Angeles Clippers,89,Box Score,,15601,
Sat Nov 24 2007,8:00p,Washington Wizards,118,Memphis Grizzlies,124,Box Score,,13579,
Sat Nov 24 2007,9:00p,Dallas Mavericks,95,Milwaukee Bucks,97,Box Score,,16376,
Sat Nov 24 2007,8:00p,Atlanta Hawks,94,Minnesota Timberwolves,87,Box Score,,14101,
Sat Nov 24 2007,1:00p,Chicago Bulls,78,New York Knicks,85,Box Score,,19763,
Sat Nov 24 2007,7:00p,Miami Heat,99,Orlando Magic,120,Box Score,,17519,
Sat Nov 24 2007,7:00p,Golden State Warriors,100,Philadelphia 76ers,98,Box Score,OT,13047,
Sun Nov 25 2007,1:00p,Utah Jazz,103,Detroit Pistons,93,Box Score,,22076,
Sun Nov 25 2007,2:30p,Cleveland Cavaliers,111,Indiana Pacers,106,Box Score,,11603,
Sun Nov 25 2007,9:30p,New Jersey Nets,102,Los Angeles Lakers,100,Box Score,,18997,
Sun Nov 25 2007,9:00p,San Antonio Spurs,116,Seattle SuperSonics,101,Box Score,,14186,
Sun Nov 25 2007,12:00p,Chicago Bulls,78,Toronto Raptors,93,Box Score,,19800,
Mon Nov 26 2007,8:30p,Washington Wizards,110,Dallas Mavericks,98,Box Score,,19556,
Mon Nov 26 2007,10:30p,Phoenix Suns,114,Golden State Warriors,129,Box Score,,19596,
Mon Nov 26 2007,10:30p,Houston Rockets,88,Los Angeles Clippers,71,Box Score,,15452,
Mon Nov 26 2007,8:00p,Minnesota Timberwolves,103,New Orleans Hornets,94,Box Score,,8393,
Mon Nov 26 2007,7:30p,Utah Jazz,109,New York Knicks,113,Box Score,,18816,
Mon Nov 26 2007,10:00p,Orlando Magic,85,Portland Trail Blazers,74,Box Score,,15922,
Mon Nov 26 2007,10:00p,San Antonio Spurs,99,Sacramento Kings,112,Box Score,,12587,
Tue Nov 27 2007,8:30p,Atlanta Hawks,78,Chicago Bulls,90,Box Score,,21826,
Tue Nov 27 2007,7:00p,Boston Celtics,104,Cleveland Cavaliers,109,Box Score,OT,20562,
Tue Nov 27 2007,9:00p,Indiana Pacers,112,Denver Nuggets,110,Box Score,,13274,
Tue Nov 27 2007,10:30p,Seattle SuperSonics,99,Los Angeles Lakers,106,Box Score,,18997,
Tue Nov 27 2007,7:30p,Charlotte Bobcats,90,Miami Heat,110,Box Score,,19600,
Tue Nov 27 2007,8:00p,Philadelphia 76ers,114,Milwaukee Bucks,99,Box Score,,13186,
Tue Nov 27 2007,7:30p,Memphis Grizzlies,110,New Jersey Nets,103,Box Score,,12092,
Wed Nov 28 2007,7:00p,Milwaukee Bucks,80,Atlanta Hawks,96,Box Score,,11286,
Wed Nov 28 2007,8:30p,Minnesota Timberwolves,103,Dallas Mavericks,109,Box Score,,20054,
Wed Nov 28 2007,7:30p,Cleveland Cavaliers,74,Detroit Pistons,109,Box Score,,22076,
Wed Nov 28 2007,7:00p,Utah Jazz,106,Philadelphia 76ers,95,Box Score,,11006,
Wed Nov 28 2007,9:00p,Houston Rockets,100,Phoenix Suns,94,Box Score,,18422,
Wed Nov 28 2007,10:00p,Indiana Pacers,95,Portland Trail Blazers,89,Box Score,,16168,
Wed Nov 28 2007,10:00p,Golden State Warriors,103,Sacramento Kings,96,Box Score,,13652,
Wed Nov 28 2007,8:30p,Washington Wizards,94,San Antonio Spurs,109,Box Score,,18386,
Wed Nov 28 2007,10:00p,Orlando Magic,110,Seattle SuperSonics,94,Box Score,,12398,
Wed Nov 28 2007,7:00p,Memphis Grizzlies,91,Toronto Raptors,103,Box Score,,18906,
Thu Nov 29 2007,8:00p,New York Knicks,59,Boston Celtics,104,Box Score,,18624,
Thu Nov 29 2007,10:30p,Houston Rockets,94,Golden State Warriors,113,Box Score,,19596,
Thu Nov 29 2007,10:30p,Denver Nuggets,99,Los Angeles Lakers,127,Box Score,,18997,
Fri Nov 30 2007,7:30p,New Orleans Hornets,92,Atlanta Hawks,86,Box Score,,14186,
Fri Nov 30 2007,8:30p,Portland Trail Blazers,80,Dallas Mavericks,91,Box Score,,20301,
Fri Nov 30 2007,10:30p,Los Angeles Clippers,107,Denver Nuggets,123,Box Score,,14230,
Fri Nov 30 2007,8:00p,Boston Celtics,95,Miami Heat,85,Box Score,,20022,
Fri Nov 30 2007,8:00p,San Antonio Spurs,106,Minnesota Timberwolves,91,Box Score,,16297,
Fri Nov 30 2007,7:30p,Milwaukee Bucks,88,New York Knicks,91,Box Score,,18979,
Fri Nov 30 2007,7:00p,Washington Wizards,84,Philadelphia 76ers,85,Box Score,,10718,
Fri Nov 30 2007,9:00p,Orlando Magic,106,Phoenix Suns,110,Box Score,,18422,
Fri Nov 30 2007,10:30p,Indiana Pacers,93,Seattle SuperSonics,95,Box Score,,14786,
Fri Nov 30 2007,7:00p,Cleveland Cavaliers,82,Toronto Raptors,91,Box Score,,19800,
Fri Nov 30 2007,10:30p,Los Angeles Lakers,96,Utah Jazz,120,Box Score,,19911,
Sat Dec 1 2007,8:30p,Charlotte Bobcats,95,Chicago Bulls,111,Box Score,,21729,
Sat Dec 1 2007,8:00p,Minnesota Timberwolves,80,Memphis Grizzlies,109,Box Score,,12896,
Sat Dec 1 2007,8:30p,Detroit Pistons,117,Milwaukee Bucks,91,Box Score,,17326,
Sat Dec 1 2007,7:30p,Philadelphia 76ers,92,New Jersey Nets,94,Box Score,OT,15133,
Sat Dec 1 2007,8:00p,Dallas Mavericks,108,New Orleans Hornets,112,Box Score,OT,12223,
Sat Dec 1 2007,10:00p,Houston Rockets,99,Sacramento Kings,107,Box Score,,15081,
Sat Dec 1 2007,7:00p,Toronto Raptors,97,Washington Wizards,101,Box Score,,20173,
Sun Dec 2 2007,12:30p,Cleveland Cavaliers,70,Boston Celtics,80,Box Score,,18624,
Sun Dec 2 2007,8:00p,Miami Heat,89,Denver Nuggets,115,Box Score,,16386,
Sun Dec 2 2007,6:00p,New Jersey Nets,95,Detroit Pistons,118,Box Score,,22076,
Sun Dec 2 2007,3:30p,Indiana Pacers,101,Los Angeles Clippers,95,Box Score,,13741,
Sun Dec 2 2007,9:30p,Orlando Magic,104,Los Angeles Lakers,97,Box Score,,18997,
Sun Dec 2 2007,7:00p,Phoenix Suns,115,New York Knicks,104,Box Score,,18869,
Sun Dec 2 2007,3:30p,Portland Trail Blazers,79,San Antonio Spurs,100,Box Score,,18797,
Sun Dec 2 2007,9:00p,Golden State Warriors,109,Seattle SuperSonics,96,Box Score,,11461,
Mon Dec 3 2007,8:30p,Dallas Mavericks,103,Chicago Bulls,98,Box Score,,21780,
Mon Dec 3 2007,10:30p,Orlando Magic,123,Golden State Warriors,117,Box Score,OT,18527,
Mon Dec 3 2007,8:00p,Portland Trail Blazers,106,Memphis Grizzlies,105,Box Score,,11317,
Mon Dec 3 2007,7:00p,Atlanta Hawks,88,Philadelphia 76ers,79,Box Score,,11465,
Mon Dec 3 2007,7:00p,Charlotte Bobcats,79,Toronto Raptors,98,Box Score,,17439,
Mon Dec 3 2007,9:00p,Miami Heat,101,Utah Jazz,110,Box Score,,19911,
Tue Dec 4 2007,7:00p,Detroit Pistons,106,Atlanta Hawks,95,Box Score,,12754,
Tue Dec 4 2007,7:00p,New Jersey Nets,100,Cleveland Cavaliers,79,Box Score,,19838,
Tue Dec 4 2007,7:00p,Phoenix Suns,121,Indiana Pacers,117,Box Score,,11435,
Tue Dec 4 2007,10:30p,Milwaukee Bucks,87,Los Angeles Clippers,78,Box Score,,16004,
Tue Dec 4 2007,8:00p,Los Angeles Lakers,116,Minnesota Timberwolves,95,Box Score,,17513,
Tue Dec 4 2007,10:00p,Utah Jazz,107,Sacramento Kings,117,Box Score,,12688,
Wed Dec 5 2007,7:00p,Chicago Bulls,91,Charlotte Bobcats,82,Box Score,,13227,
Wed Dec 5 2007,9:00p,Los Angeles Lakers,111,Denver Nuggets,107,Box Score,,19155,
Wed Dec 5 2007,10:30p,Milwaukee Bucks,90,Golden State Warriors,120,Box Score,,17823,
Wed Dec 5 2007,8:30p,Memphis Grizzlies,92,Houston Rockets,105,Box Score,,17723,
Wed Dec 5 2007,7:30p,New York Knicks,100,New Jersey Nets,93,Box Score,,15233,
Wed Dec 5 2007,8:00p,Detroit Pistons,91,New Orleans Hornets,76,Box Score,,10312,
Wed Dec 5 2007,7:00p,Boston Celtics,113,Philadelphia 76ers,103,Box Score,,15779,
Wed Dec 5 2007,8:30p,Dallas Mavericks,95,San Antonio Spurs,97,Box Score,,18797,
Wed Dec 5 2007,10:30p,Los Angeles Clippers,88,Seattle SuperSonics,95,Box Score,,10961,
Wed Dec 5 2007,7:00p,Phoenix Suns,136,Toronto Raptors,123,Box Score,,19800,
Wed Dec 5 2007,7:00p,Cleveland Cavaliers,86,Washington Wizards,105,Box Score,,17684,
Thu Dec 6 2007,7:00p,Minnesota Timberwolves,89,Atlanta Hawks,90,Box Score,,12232,
Thu Dec 6 2007,8:00p,Denver Nuggets,122,Dallas Mavericks,109,Box Score,,20155,
Thu Dec 6 2007,10:30p,Miami Heat,106,Portland Trail Blazers,112,Box Score,,19980,
Fri Dec 7 2007,7:30p,Toronto Raptors,84,Boston Celtics,112,Box Score,,18624,
