Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 17 2009,7:30p,Indiana Pacers,91,New Jersey Nets,83,Box Score,,11332,
Tue Nov 17 2009,8:00p,Los Angeles Clippers,102,New Orleans Hornets,110,Box Score,,13116,
Tue Nov 17 2009,10:00p,Chicago Bulls,101,Sacramento Kings,87,Box Score,,12634,
Wed Nov 18 2009,7:00p,Miami Heat,90,Atlanta Hawks,105,Box Score,,18729,
Wed Nov 18 2009,7:30p,Golden State Warriors,95,Boston Celtics,109,Box Score,,18624,
Wed Nov 18 2009,9:30p,San Antonio Spurs,94,Dallas Mavericks,99,Box Score,OT,20110,
Wed Nov 18 2009,7:00p,New York Knicks,110,Indiana Pacers,103,Box Score,,12258,
Wed Nov 18 2009,8:00p,Los Angeles Clippers,91,Memphis Grizzlies,106,Box Score,,10012,
Wed Nov 18 2009,8:00p,New Jersey Nets,85,Milwaukee Bucks,99,Box Score,,13479,
Wed Nov 18 2009,8:00p,Houston Rockets,97,Minnesota Timberwolves,84,Box Score,,11137,
Wed Nov 18 2009,7:00p,Oklahoma City Thunder,94,Orlando Magic,108,Box Score,,17461,
Wed Nov 18 2009,7:00p,Charlotte Bobcats,84,Philadelphia 76ers,86,Box Score,,11585,
Wed Nov 18 2009,10:00p,Detroit Pistons,81,Portland Trail Blazers,87,Box Score,,20391,
Wed Nov 18 2009,9:00p,Toronto Raptors,91,Utah Jazz,104,Box Score,,17879,
Wed Nov 18 2009,7:00p,Cleveland Cavaliers,91,Washington Wizards,108,Box Score,,20173,
Thu Nov 19 2009,10:30p,Chicago Bulls,93,Los Angeles Lakers,108,Box Score,,18997,
Thu Nov 19 2009,8:00p,Phoenix Suns,103,New Orleans Hornets,110,Box Score,,14520,
Thu Nov 19 2009,8:30p,Utah Jazz,90,San Antonio Spurs,83,Box Score,,17519,
Fri Nov 20 2009,7:30p,Houston Rockets,103,Atlanta Hawks,105,Box Score,,16674,
Fri Nov 20 2009,8:00p,Orlando Magic,83,Boston Celtics,78,Box Score,,18624,
Fri Nov 20 2009,8:30p,Sacramento Kings,102,Dallas Mavericks,104,Box Score,,19871,
Fri Nov 20 2009,10:30p,Portland Trail Blazers,94,Golden State Warriors,108,Box Score,,18630,
Fri Nov 20 2009,7:00p,Cleveland Cavaliers,105,Indiana Pacers,95,Box Score,,18165,
