Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Nov 13 1997,Philadelphia 76ers,99,Dallas Mavericks,98,Box Score,,11084,
Thu Nov 13 1997,Milwaukee Bucks,102,Los Angeles Clippers,94,Box Score,,4300,
Thu Nov 13 1997,Washington Wizards,91,Minnesota Timberwolves,88,Box Score,OT,16491,
Thu Nov 13 1997,Cleveland Cavaliers,85,New Jersey Nets,74,Box Score,,14235,
Thu Nov 13 1997,Los Angeles Lakers,109,San Antonio Spurs,100,Box Score,OT,20557,
Thu Nov 13 1997,Detroit Pistons,89,Seattle SuperSonics,95,Box Score,,17072,
Fri Nov 14 1997,Sacramento Kings,103,Atlanta Hawks,104,Box Score,,21529,
Fri Nov 14 1997,Toronto Raptors,99,Boston Celtics,103,Box Score,,17224,
Fri Nov 14 1997,Charlotte Hornets,92,Chicago Bulls,105,Box Score,,23894,
Fri Nov 14 1997,Los Angeles Lakers,113,Houston Rockets,103,Box Score,2OT,16285,
Fri Nov 14 1997,Miami Heat,78,Indiana Pacers,82,Box Score,,13794,
Fri Nov 14 1997,Denver Nuggets,85,Orlando Magic,103,Box Score,,16551,
Fri Nov 14 1997,Phoenix Suns,140,Portland Trail Blazers,139,Box Score,4OT,21057,
Fri Nov 14 1997,Seattle SuperSonics,104,Utah Jazz,110,Box Score,,19830,
Sat Nov 15 1997,Los Angeles Clippers,96,Charlotte Hornets,130,Box Score,,24042,
Sat Nov 15 1997,Cleveland Cavaliers,70,Chicago Bulls,79,Box Score,,23906,
Sat Nov 15 1997,Utah Jazz,85,Dallas Mavericks,77,Box Score,,14323,
Sat Nov 15 1997,New Jersey Nets,88,Detroit Pistons,96,Box Score,OT,19191,
Sat Nov 15 1997,Portland Trail Blazers,99,Golden State Warriors,87,Box Score,,10395,
Sat Nov 15 1997,Denver Nuggets,93,Miami Heat,96,Box Score,,14893,
Sat Nov 15 1997,Sacramento Kings,87,New York Knicks,114,Box Score,,19763,
Sat Nov 15 1997,Boston Celtics,107,Philadelphia 76ers,101,Box Score,,14127,
Sat Nov 15 1997,Minnesota Timberwolves,105,San Antonio Spurs,94,Box Score,,17410,
Sat Nov 15 1997,Indiana Pacers,105,Toronto Raptors,77,Box Score,,17188,
Sat Nov 15 1997,Milwaukee Bucks,94,Vancouver Grizzlies,109,Box Score,,17666,
Sat Nov 15 1997,Orlando Magic,102,Washington Wizards,91,Box Score,,18756,at Landover MD
Sun Nov 16 1997,Los Angeles Clippers,83,Atlanta Hawks,89,Box Score,,8388,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
Sun Nov 16 1997,New Jersey Nets,77,Cleveland Cavaliers,72,Box Score,,12860,
Sun Nov 16 1997,Vancouver Grizzlies,95,Los Angeles Lakers,121,Box Score,,17139,
Sun Nov 16 1997,Houston Rockets,94,Phoenix Suns,96,Box Score,,19023,
Sun Nov 16 1997,Milwaukee Bucks,99,Seattle SuperSonics,119,Box Score,,17072,
Mon Nov 17 1997,Dallas Mavericks,75,Portland Trail Blazers,120,Box Score,,20033,
Tue Nov 18 1997,Washington Wizards,89,Atlanta Hawks,98,Box Score,OT,12809,
Tue Nov 18 1997,Vancouver Grizzlies,100,Denver Nuggets,87,Box Score,,9718,
Tue Nov 18 1997,New York Knicks,84,Houston Rockets,95,Box Score,,16285,
Tue Nov 18 1997,Detroit Pistons,79,Milwaukee Bucks,87,Box Score,,13065,
Tue Nov 18 1997,Los Angeles Clippers,94,Orlando Magic,112,Box Score,,16435,
Tue Nov 18 1997,Minnesota Timberwolves,108,Phoenix Suns,90,Box Score,,19023,
Tue Nov 18 1997,Dallas Mavericks,95,Sacramento Kings,102,Box Score,,12665,
Tue Nov 18 1997,Boston Celtics,122,Toronto Raptors,109,Box Score,,16343,
Tue Nov 18 1997,Los Angeles Lakers,97,Utah Jazz,92,Box Score,,19911,
Wed Nov 19 1997,Portland Trail Blazers,92,Charlotte Hornets,106,Box Score,,24042,
Wed Nov 19 1997,Orlando Magic,96,Cleveland Cavaliers,93,Box Score,OT,13404,
Wed Nov 19 1997,Minnesota Timberwolves,93,Los Angeles Lakers,118,Box Score,,17505,
Wed Nov 19 1997,Los Angeles Clippers,113,Miami Heat,122,Box Score,,14311,
Wed Nov 19 1997,Boston Celtics,100,New Jersey Nets,108,Box Score,,15449,
Wed Nov 19 1997,Washington Wizards,86,Philadelphia 76ers,97,Box Score,,14170,
Wed Nov 19 1997,Golden State Warriors,87,San Antonio Spurs,108,Box Score,,15326,
Wed Nov 19 1997,Vancouver Grizzlies,87,Seattle SuperSonics,107,Box Score,,17072,
Thu Nov 20 1997,New York Knicks,100,Atlanta Hawks,79,Box Score,,21366,
Thu Nov 20 1997,Golden State Warriors,101,Dallas Mavericks,97,Box Score,OT,14042,
Thu Nov 20 1997,Portland Trail Blazers,93,Detroit Pistons,87,Box Score,,16205,
Thu Nov 20 1997,Toronto Raptors,97,Houston Rockets,127,Box Score,,16285,
Thu Nov 20 1997,Indiana Pacers,109,Milwaukee Bucks,83,Box Score,,14106,
Thu Nov 20 1997,Chicago Bulls,85,Phoenix Suns,89,Box Score,,19023,
Thu Nov 20 1997,Utah Jazz,95,Sacramento Kings,97,Box Score,,14648,
Fri Nov 21 1997,New Jersey Nets,93,Boston Celtics,101,Box Score,,18624,
Fri Nov 21 1997,Miami Heat,102,Charlotte Hornets,119,Box Score,,24042,
Fri Nov 21 1997,Chicago Bulls,111,Los Angeles Clippers,102,Box Score,2OT,16199,
Fri Nov 21 1997,Cleveland Cavaliers,103,Minnesota Timberwolves,80,Box Score,,17002,
Fri Nov 21 1997,San Antonio Spurs,74,Seattle SuperSonics,94,Box Score,,17072,
Fri Nov 21 1997,Denver Nuggets,96,Vancouver Grizzlies,99,Box Score,,15988,
Fri Nov 21 1997,New York Knicks,104,Washington Wizards,82,Box Score,,18756,at Landover MD
Sat Nov 22 1997,Washington Wizards,101,Cleveland Cavaliers,110,Box Score,,16196,
Sat Nov 22 1997,Milwaukee Bucks,83,Dallas Mavericks,62,Box Score,,11425,
Sat Nov 22 1997,Seattle SuperSonics,84,Denver Nuggets,80,Box Score,,12022,
Sat Nov 22 1997,Atlanta Hawks,85,Detroit Pistons,87,Box Score,,18481,
Sat Nov 22 1997,Golden State Warriors,84,Houston Rockets,90,Box Score,,16285,
Sat Nov 22 1997,Charlotte Hornets,95,Indiana Pacers,94,Box Score,,15802,
Sat Nov 22 1997,Toronto Raptors,104,Miami Heat,108,Box Score,,14381,
Sat Nov 22 1997,Portland Trail Blazers,87,New Jersey Nets,93,Box Score,,18543,
Sat Nov 22 1997,Orlando Magic,108,Philadelphia 76ers,94,Box Score,,14424,
Sat Nov 22 1997,San Antonio Spurs,74,Utah Jazz,103,Box Score,,19911,
Sun Nov 23 1997,Detroit Pistons,86,Boston Celtics,90,Box Score,,17070,
Sun Nov 23 1997,Los Angeles Clippers,102,Los Angeles Lakers,119,Box Score,,17505,
Sun Nov 23 1997,Vancouver Grizzlies,84,New York Knicks,104,Box Score,,19763,
Sun Nov 23 1997,Chicago Bulls,103,Sacramento Kings,88,Box Score,,17317,
Mon Nov 24 1997,Washington Wizards,87,Orlando Magic,95,Box Score,,16548,
Mon Nov 24 1997,Portland Trail Blazers,91,Toronto Raptors,90,Box Score,,15051,
Mon Nov 24 1997,Minnesota Timberwolves,124,Utah Jazz,133,Box Score,OT,19911,
Tue Nov 25 1997,Detroit Pistons,85,Charlotte Hornets,90,Box Score,,22617,
Tue Nov 25 1997,San Antonio Spurs,102,Dallas Mavericks,91,Box Score,,11557,
Tue Nov 25 1997,New Jersey Nets,101,Golden State Warriors,87,Box Score,,9678,
Tue Nov 25 1997,Los Angeles Lakers,86,Miami Heat,103,Box Score,,15200,
Tue Nov 25 1997,Denver Nuggets,93,Sacramento Kings,97,Box Score,,12950,
Tue Nov 25 1997,Chicago Bulls,90,Seattle SuperSonics,91,Box Score,,17072,
Wed Nov 26 1997,Los Angeles Lakers,118,Boston Celtics,103,Box Score,,18624,
Wed Nov 26 1997,Sacramento Kings,97,Los Angeles Clippers,99,Box Score,,8467,
Wed Nov 26 1997,Vancouver Grizzlies,82,Milwaukee Bucks,101,Box Score,,15126,
Wed Nov 26 1997,Portland Trail Blazers,96,Minnesota Timberwolves,90,Box Score,,17882,
Wed Nov 26 1997,Miami Heat,84,Orlando Magic,60,Box Score,,17248,
Wed Nov 26 1997,Cleveland Cavaliers,95,Philadelphia 76ers,89,Box Score,,12711,
Wed Nov 26 1997,New Jersey Nets,99,Phoenix Suns,111,Box Score,,19023,
Wed Nov 26 1997,Washington Wizards,98,San Antonio Spurs,94,Box Score,,14436,
Wed Nov 26 1997,Atlanta Hawks,109,Toronto Raptors,104,Box Score,2OT,15639,
Thu Nov 27 1997,Vancouver Grizzlies,85,Indiana Pacers,106,Box Score,,14391,
Fri Nov 28 1997,Phoenix Suns,112,Boston Celtics,108,Box Score,OT,18624,
Fri Nov 28 1997,Cleveland Cavaliers,97,Charlotte Hornets,91,Box Score,,24042,
Fri Nov 28 1997,Toronto Raptors,91,Dallas Mavericks,93,Box Score,,13327,
